"id","texto"
24,"Las Teoría de cuerdas se basan en estados vibracionales de la materia, no en partículas. https://www.investigacionyciencia.es/revistas/investigacion-y-ciencia/neurociencia-de-los-hbitos-606/teora-de-cuerdas-12292"
25,"Un universo que nace de las leyes de la física y la fuerza de la gravedad a partir de “la nada”, es la posición de dos científicos de gran trayectoria , Stephen Hawkins y Leonard Mlodinov en su libro “El Gran Diseño”. "
26,"Teoria del campo unificado https://www.quimica.es/enciclopedia/Teor%C3%ADa_del_campo_unificado.html"
27,"Partículas u ondas que constituyen los fenómenos electromagnéticos. "
28,"¿ Que dice la teoría inflacionaria sobre el universo? https://www.universidadviu.com/es/actualidad/nuestros-expertos/que-dice-la-teoria-inflacionaria-sobre-el-universo"
29,"Biografía Alan Guth https://physics.mit.edu/faculty/alan-guth/"
30,"Foto del universo primitivo realizado por el telescopio PLANCK de Agencia Espacial Europea https://www.i-cpan.es/es/content/planck-desvela-la-fotograf%C3%ADa-m%C3%A1s-detallada-del-nacimiento-del-universo"
31,"Desde la década de los 90 se realizan en diversos lugares del mundo investigaciones de tipo experimental. El proyecto BICEP comenzó investigaciones del 2006 al 2008 , el BICEP2 es una continuación del mismo https://lweb.cfa.harvard.edu/CMB/bicep2/science.html"
32,"El origen de la materia https://www.investigacionyciencia.es/revistas/investigacion-y-ciencia/la-geodinamo-399/el-origen-de-la-materia-4337"
33,"¿Que forma tiene el universo ? https://www.investigacionyciencia.es/noticias/qu-forma-tiene-el-universo-un-nuevo-estudio-mantiene-que-estbamos-muy-equivocados-17989"
34,"¿ Si el universo actual es de 14 billones de años luz, como es posible observar objetos a 47 billones de años luz de distancia ?  HYPERLINK ""http://www.astro.ucla.edu/~wright/cosmology_faq.html"" \l ""DN""http://www.astro.ucla.edu/~wright/cosmology_faq.html#DN Edward L. (Ned) Wright , obtuvo su grado PhD en astronomía de la universidad de Harvard en 1976. Luego de enseñar en el departamento de Física de MIT, ha sido profesor en UCLA desde 1981. "
35,"¿ Donde está el centro del Big Bang ? http://www.astro.ucla.edu/~wright/nocenter.html Edward L. (Ned) Wright , obtuvo su grado PhD en astronomía de la universidad de Harvard en 1976. Luego de enseñar en el departamento de Física de MIT, ha sido profesor en UCLA desde 1981. "
36,"¿ What might be speeding up the universe expansion ?https://www.quantamagazine.org/why-is-the-universe-expanding-so-fast-20200427/"
37,"Biografia de Andrónico de Rodas https://www.biografiasyvidas.com/biografia/a/andronico_de_rodas.htm"
38,"Biografía de Aristóteles https://www.biografiasyvidas.com/monografia/aristoteles/"
39,"80 años del entrelazamiento cuántico de Einstein, Podolsky y Rosen https://www.scientificamerican.com/espanol/noticias/ochenta-anos-del-entrelazamiento-cuantico/"
40,"¿Que son los cubits? https://platzi.com/tutoriales/1098-ingenieria/1521-que-son-los-cubits/"
41,"Gordon Moore: https://es.wikipedia.org/wiki/Gordon_Moore"
42,"La ciencia que manipula la materia a una escala molecular para resolver problemas https://www.genome.gov/es/genetics-glossary/Nanotecnologia"
43,"Escala medida en nanómetros. Un nanómetro es una millonésima parte de un milímetro."
44,"A cuatro décadas de la primera concepción in vitro http://www.scielo.org.mx/scielo.php?script=sci_arttext&pid=S0301-696X2018000400363"
45,"Salk News: “New findings highlight promise of chimeric organisms for science and medicine” , https://www.salk.edu/news-release/new-findings-highlight-promise-chimeric-organisms-science-medicine/"
46,"Milestone Pig-to-Human Heart Transplant May Pave the Way for Broader Trial, Scientifican American, Octubre 2023  HYPERLINK ""https://www.scientificamerican.com/article/milestone-pig-to-human-heart-transplant-may-pave-the-way-for-broader-trial/"" \l "":~:text=In January 2022 Griffith and,failed%2C and he passed away.""https://www.scientificamerican.com/article/milestone-pig-to-human-heart-transplant-may-pave-the-way-for-broader-trial/#:~:text=In%20January%202022%20Griffith%20and,failed%2C%20and%20he%20passed%20away."
47,"MIT Technology Review : https://www.technologyreview.com/2018/11/25/138962/exclusive-chinese-scientists-are-creating-crispr-babies/"
48,"Las cinco preguntas más importantes sobre CRISPR https://www.investigacionyciencia.es/noticias/las-5-preguntas-ms-importantes-sobre-crispr-cas9-17711"
49,"Our world in Data, Life expectancy:  HYPERLINK ""https://ourworldindata.org/life-expectancy"" \l ""life-expectancy-has-improved-globally""https://ourworldindata.org/life-expectancy#life-expectancy-has-improved-globally – World Population Growth  HYPERLINK ""https://ourworldindata.org/world-population-growth"" \l ""all-charts-preview""https://ourworldindata.org/world-population-growth#all-charts-preview"
50,"The number of people in extreme poverty https://ourworldindata.org/extreme-poverty"
51,"De animales a Dioses, Yuval Noah Harari, página 21. "
52,"Biografía de Yuval Noha Harari https://www.ynharari.com/es/acerca-de-2/"
53,"De animales a Dioses, Yuval Noah Harari,página 35."
54,"Charles Darwin: https://es.wikipedia.org/wiki/Charles_Darwin"
55,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, página 20-23"
56,"Biografía de Carl Sagan https://es.wikipedia.org/wiki/Carl_Sagan"
57,"“Cosmos”, Carl Sagan, paginas 276 - 277"
58,"Scientifican American, “What makes our brains special ?”, Diana Kwon. https://www.scientificamerican.com/article/what-makes-our-brains-special/"
59,"Frontiers in Human Neuroscience: “The human brain in numbers: a linearly scaled-up primate brain”, Suzana Herculano-Houzel https://www.frontiersin.org/articles/10.3389/neuro.09.031.2009/full"
60,"“El cerebro y el Mito del Yo”, Rodolfo R.Linás , páginas 25 – 59, "
61,"Biografía de Rodolfo Llinás https://es.wikipedia.org/wiki/Rodolfo_Llinás"
62,"Las neuronas en el cerebro, se pueden comunicar entre si,  en un mismo periodo de tiempo."
63,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, página 147."
64,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, página 67."
65,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, página 64."
66,"“Robust prediction of individual creative ability from brain functional connectivity”, Proceedings of the National Academy of Sciences of the United States of America- PNAS. https://www.pnas.org/content/115/5/1087"
67,"La declaración sobre la consciencia de Cambridge, Julio 7 de 2012.  HYPERLINK ""https://www.animal-ethics.org/declaracion-consciencia-cambridge/"" \l "":~:text=La Declaración fue proclamada de,por Low%2C Edelman and Koch.""https://www.animal-ethics.org/declaracion-consciencia-cambridge/#:~:text=La%20Declaraci%C3%B3n%20fue%20proclamada%20de,por%20Low%2C%20Edelman%20and%20Koch."
68,"Schaefer, D. O. (2012). Do Animals Have Religion? Interdisciplinary Perspectives on Religion and Embodiment. Anthrozoös, 25(sup1), s173–s189. https://doi.org/10.2752/175303712X13353430377291"
69,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, página 72."
70,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, página 192."
71,"PAF, Patrones de acción fijos; responsables de las reacciones automáticas,  no requieren ser pensadas, como inclinar la cabeza para escuchar mejor un sonido débil."
72," La Conciencia, con ""c"", se refiere al conocimiento moral y ético de lo que está bien y mal, mientras que consciencia, con ""sc"", se refiere a la capacidad de percibir la realidad y reconocerse en ella, incluyendo aspectos sensoriales y emocionales."
73,"Free will is only an illution if you are, too. Scientifican American, Jan 16 2023 https://www.scientificamerican.com/article/free-will-is-only-an-illusion-if-you-are-too/"
74,"Otros aportes surgen desde la filosofía de la fenomenología trascendental desarrollada por Edmund Husserl (República Checa 1859 – 1938 ); en la cual se hace referencia a una explicación racional del carácter subjetivo de la experiencia humana. https://www.biografiasyvidas.com/biografia/h/husserl.htm"
75,"Biografía de Rene Descartes https://www.biografiasyvidas.com/biografia/d/descartes.htm"
76,"Principio en latín de la filosofía Racional de René Descartes, “Cogito ergo, sum” en el “Discurso del Método” 1,637; la traducción literal el latín puede ser también “pienso, por lo tanto soy”."
77,"La verdad filosófica es un tema de gran amplitud y profundidad de pensamiento pertinente a varias corrientes filosóficas; ya que el mismo cerebro lo permite, se acudirá tan a una fuente que cuestiona la verdad subjetiva en los términos de la explicación racional. "
78,"Cualias o Qualias, cualidades subjetivas de las experiencias individuales. Aunque este concepto todavía está siendo debatido en su significado, para el contexto del presente documento se hacer referencia a la experiencia subjetiva de cada individuo. https://es.wikipedia.org/wiki/Qualia"
79,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, páginas 243-244."
80,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, páginas 245."
81,"“El Cerebro y el Mito del Yo”, Rodolfo Llinás, página 258. "
82,"Thomas Nagel , filósofo de la mente en el pensamiento post-moderno https://www.infoamerica.org/teoria/nagel1.htm"
83,"Ver documento completo ¿Que se siente ser un murciélago ?: https://pdfs.semanticscholar.org/3c41/da79e03876d1cf69f5784e880aabd4844c91.pdf"
84,"Materialismo científico https://es.wikipedia.org/wiki/Materialismo_científico"
85,"Definición del cientificismo  HYPERLINK ""https://www.unav.edu/web/ciencia-razon-y-fe/cientificismo-positivista-y-ciencia-positiva-hoy"" \l ""b""https://www.unav.edu/web/ciencia-razon-y-fe/cientificismo-positivista-y-ciencia-positiva-hoy#b"
86,"The society of catholic scientists https://catholicscientists.org"
87,"Biografía de Frederich Niestzsche  https://www.biografiasyvidas.com/biografia/n/nietzsche.htm     "
88,"La filosofía de Aristóteles, continuación de la filosofía de Sócrates y Platón  postula al hombre como sujeto de la razón y del alma. Aristóteles puede ser considerado como el primer investigador científico en el estricto sentido de la palabra. https://www.biografiasyvidas.com/monografia/aristoteles/"
89,"En esta línea de pensamiento están Rene Descartes (Suecia, 1596 - 1650), Baruc Spinoza (Holanda , 1632 – 1677), Immanuel Kant (Rusia , 1724 – 1804), Friedrich Nietzsche (Alemania, 1844 – 1900) entre otros."
90,"En el marco de la filosofía contemporánea se ha excluido la posibilidad de Dios en la mayoría de los casos, excepto por aquellas filosofías que se derivan de alguna religión."
91,"En la ciencia, la verdad absoluta, equivale a la teoría del todo; aunque existe una gran corriente que niega esa posibilidad dado el indeterminismo de la física cuántica, todavía bajo estudio y entendimiento. "
92,"Distribución de la población mundial entre el 2015 y el 2060 por religión.https://populationeducation-org.translate.goog/world-population-by-religion-a-global-tapestry-of-faith/?_x_tr_sl=en&_x_tr_tl=es&_x_tr_hl=es&_x_tr_pto=tc"
93,"Biografía de Marco Tulio Cicerón https://www.biografiasyvidas.com/biografia/c/ciceron.htm"
94,"Biografía de Lactancio https://ec.aciprensa.com/wiki/Lucio_Cecilio_Firmiano_Lactancio"
95,"Etimología de la palabra “Religión”. http://www.hispanoteca.eu/Foro/ARCHIVO-Foro/Religi%C3%B3n-religare-relegere.htm"
96,"Biografía de William James https://www.biografiasyvidas.com/biografia/j/james.htm"
97,"Biografía de Ludwing Wittgenstein https://www.biografiasyvidas.com/biografia/w/wittgenstein.htm"
98,"Biografía de John Hick https://iep.utm.edu/hick/"
99,"El concepto de religión, Stanford Encyclopedia of philosophy, 2022 https://plato.stanford.edu/entries/concept-religion/"
100,"Es lo contrario de la trascendencia; la explicación está en el interior del “si mismo”. https://es.wikipedia.org/wiki/Inmanencia"
101,"“Homo Erectus” es más antiguo de lo que se pensaba https://www.nationalgeographic.com.es/ciencia/homo-erectus-es-mas-antiguo-que-se-pensaba_15391"
102,"El hombre de Neardental, mucho más humano de lo que se creía https://www.nationalgeographic.com.es/ciencia/hombre-neandertal-mucho-mas-humano-que-se-creia_14381"
103,"El hacha de Atapuerca https://elpais.com/diario/2003/01/08/sociedad/1041980401_850215.html"
104,"La sima de los huesos en la frontera del conocimiento https://www.atapuerca.org/es/ficha/ZC902F205-C003-50CB-65B8F2A0F3090121/la-sima-de-los-huesos-en-la-frontera-del-conocimiento"
105,"Evidence supporting an intentional Neardental burial at La Capelle Aux-Sanints https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3890882/"
106,"Dama roja de Paviland  https://es.wikipedia.org/wiki/Dama_roja_de_Paviland y la Dama roja del Miron https://mujeresconciencia.com/2018/11/20/una-valiosa-sepultura-iberica-la-dama-roja-de-el-miron/ - - el entierro de gemelos más antiguo del mundo https://historia.nationalgeographic.com.es/a/entierro-gemelos-mas-antiguo-mundo-tiene-31000-anos_15874"
107,"El Paleolítico definición y cronología  HYPERLINK ""https://es.wikipedia.org/wiki/Paleolítico"" \l ""Creencias""https://es.wikipedia.org/wiki/Paleol%C3%ADtico#Creencias"
108,"El neolítico definición y cronología.  https://es.wikipedia.org/wiki/Neol%C3%ADtico"
109,"Jericó es tal vez la población que ha estado habitada de manera constante desde hace diez mil años. https://es.wikipedia.org/wiki/Jeric%C3%B3 "
110,"Gobekli Tepe: El Primer templo de la Historia. https://historia.nationalgeographic.com.es/a/gobekli-tepe-primer-templo-historia_6363/4"
111,"Inglaterra parece haber resuelto el misterio del origen de Stonehenge https://www.dw.com/es/inglaterra-parece-haber-resuelto-el-misterio-del-origen-de-stonehenge/a-54372161"
112,"Hombre de Pekin , fósiles que datan entre 500 a 200 Mil años AC, alguna vez se consideró como el eslabón perdido https://es.wikipedia.org/wiki/Homo_erectus_pekinensis"
113,"Introducción a la economía China: los inicios de la época dinástica https://zhuangziinstitute.org/tag/cultura-de-peilikan-y-cishan/"
114,"Neolithic period in China https://www.metmuseum.org/toah/hd/cneo/hd_cneo.htm"
115,"La religión del neolítico https://www.lacrisisdelahistoria.com/la-religion-del-neolitico/"
116,"La edad de los metales se estima vá desde el siglo VI AC hasta el siglo I AC; comienza con el trabajo del Cobre, el Bronce y el Hierro. https://www.historiando.org/edad-de-los-metales/"
117,"La civilización implica un sistema social más organizado que la aldea o la tribu. Existen relaciones más complejas de comercio, escalas sociales, creencias o religiones , arte y tecnología. Existe también una historia escrita y un sistema sedentario a partir del centro urbano. "
118,"Origen hipotético desde la tradición Eloista – Yahvista de los libros del Tanaj (Judío ) o algunos libros del Antiguo testamento (Cristiano) https://es-academic.com/dic.nsf/eswiki/424202"
119,"What is Judaism ?  HYPERLINK ""https://www.chabad.org/library/article_cdo/aid/3710122/jewish/What-Is-Judaism.htm"" \l ""Watch""https://www.chabad.org/library/article_cdo/aid/3710122/jewish/What-Is-Judaism.htm#Watch"
120,"La edad antigua comienza con la invención de la escritura y termina hacia el 476 DC con la caída del imperio Romano de occidente, para dar paso a la edad media. Además de los Sumerios, existieron un gran número de imperios  en el mundo como el  Arcadio, el Asirio, el Babilónico y hacia el oriente extremo las civilización veda y persa, y los imperios de la China Antigua. También están los imperios del Africa entre los más importantes el Imperio Egipcio y en la América Antigua el Imperio Maya entre otros. "
121,"De acuerdo al momento histórico, el lenguaje y su interpretación, el Dios Judío ha recibido varios nombres tal como Adonai ó Elhoim ( Hebreo), posteriormente YHVH –Yahweh ( Yahveh) y luego la forma latinizada Jeovhá más propia del Cristianismo. https://www.jewishvirtuallibrary.org/the-name-of-god"
122,"Acerca de la religión Judía https://es.chabad.org/library/article_cdo/aid/3235655/jewish/Quines-son-los-judos.htm"
123,"Historia del Pueblo Judío https://www.jewishvirtuallibrary.org/history"
124,"Tipos de Judíos https://www.myjewishlearning.com/article/tipos-de-judios/"
125,"El Cristianismo https://ec.aciprensa.com/wiki/Cristianismo"
126,"Las religiones cristianas, protestantes y Ortodoxos  HYPERLINK ""https://es.catholic.net/op/articulos/20581/cat/24/las-religiones-cristianas-protestantes-y-ortodoxos.html"" \l ""modal""https://es.catholic.net/op/articulos/20581/cat/24/las-religiones-cristianas-protestantes-y-ortodoxos.html#modal"
127,"Biografía de Mahoma  HYPERLINK ""https://www.biografiasyvidas.com/biografia/m/mahoma.htm"" \l "":~:text=A los seis años quedó,comerciante respetado en la ciudad.""https://www.Biografíasyvidas.com/Biografía/m/mahoma.htm#:~:text=A%20los%20seis%20a%C3%B1os%20qued%C3%B3,comerciante%20respetado%20en%20la%20ciudad."
128,"Biografía de Ismael https://www.Biografíasyvidas.com/Biografía/i/ismael.htm"
129,"El Dios del Islam es Alá https://www.islamreligion.com/es/articles/195/quien-es-allah/"
130,"¿ Porque el islam ? https://www.islamreligion.com/es/articles/496/por-que-el-islam/"
131,"La Meca https://es.wikipedia.org/wiki/Jerusal%C3%A9n_en_el_islam"
132,"Definicion de Panteísmo https://encyclopaedia.herdereditorial.com/wiki/Pante%C3%ADsmo"
133,"Se reconoce la existencia de varios Dioses, pero solo uno es digno de adoración. https://es.wikipedia.org/wiki/Henote%C3%ADsmo"
134,"Periodo Védico https://es.wikipedia.org/wiki/Periodo_v%C3%A9dico"
135,"La antigua Grecia  https://www.worldhistory.org/trans/es/1-119/antigua-grecia/"
136,"Invasión Aria a la India 1500 A.C https://www.ecured.cu/Invasi%C3%B3n_aria_a_la_India"
137,"Imperio Persa https://mihistoriauniversal.com/edad-antigua/imperio-persa"
138,"A brief history of the cultures of Asia https://www.khanacademy.org/humanities/ap-art-history/start-here-apah/brief-histories-apah/a/a-brief-history-of-the-cultures-of-asia"
139,"Historia de la India https://www.lonelyplanet.es/asia/india/historia"
140,"El rig - veda es considerado el mas antiguo, data del siglo II AC. Sus autores son considerados poetas en la cultura Veda https://www.elportaldelaindia.com/El_Portal_de_la_India_Antigua/Religion_Vedica.html"
141,"Introducción Veda http://vedicheritage.gov.in/introduction/"
142,"En el Hinduismo son de gran importancia las escrituras Upanishads, Bhagavad-gita y las Agama https://es.wikipedia.org/wiki/Hinduismo"
143,"Doce cosas que se deben saber sobre el Hinduismo https://www.hinduamerican.org/blog/12-things-you-need-to-know-about-hinduism/"
144,"Literalmente Yoga significa unir, conectar, absorverse en meditación, es una práctica originaria de la cultura incipiente del rio Indo; actualmente existen muchos caminos del Yoga, algunos asociados desde sus inicios al budismo, al Jainismo  y al Hinduismo. Algunos caminos para experimentar a Dios en el Hinduismo son: Karma Yoga, Bhakti Yoga, Jnana Yoga y Raja Yoga https://www.hinduamerican.org/blog/12-things-you-need-to-know-about-hinduism/"
145,"La nueve creencias principales del Hinuduismo https://www.himalayanacademy.com/readlearn/basics/nine-beliefs "
146,"El trimurti o tres formas https://es.wikipedia.org/wiki/Trimurti"
147,"Cuatro factores del Hinduismo https://www.himalayanacademy.com/readlearn/basics/four-facts"
148,"The origins of Buddhism https://asiasociety.org/education/origins-buddhism"
149,"An introduction to Buddhism https://www.pbs.org/edens/thailand/buddhism.htm"
150,"Las cuatro nobles verdades https://es.wikipedia.org/wiki/Noble_camino_%C3%B3ctuple"
151,"Buddhism, Scripts and texts https://www.thebuddhistsociety.org/page/scriptures-texts"
152,"El Confusionismo enseña una verdad desde el equilibrio de dos energías contrarias pero complementarias,  el yin y el yang ( ej. El calor y el frio, femenino y masculino, etc) y el Taoísmo rechaza el conocimiento racional y apuesta por la sabiduría intuitiva y la espontaneidad de acuerdo a la naturaleza de cada uno y al entorno de la naturaleza que le rodea. https://universoyrealidad.com/2017/08/11/confucionismo-y-taoismo/"
153,"Baruch Spinoza https://www.biografiasyvidas.com/biografia/s/spinoza.htm"
154,"En este sentido, la subjetividad puede darse de muchas maneras: “El tiempo es oro” es una construcción que refleja un entorno cultural; mientras en otras culturas vale más “vivir el presente”."
155,"Bibliografía de Protágoras https://es.wikipedia.org/wiki/Prot%C3%A1goras"
156,"Las personas sin religión tienden a crecer en ciertas zonas del mundo; especialmente en países desarrollados y en las clases sociales donde hay un incremento en el bienestar económico; sin embargo no sucede así en el grueso de la población mundial. https://www.pewforum.org/2015/04/02/religious-projection-table/2050/percent/all/"
157,"Secularismo en el sentido de la separación de cualquier influencia de instituciones o dirigentes religiosos en la dirección de la sociedad, especialmente en el ámbito político."
158,"Se ha pasado de un extremo de apoyo espiritual a un extremo de apoyo racional en la base de la construcción de principios y valores sociales a través de una dinámica histórica de la humanidad  cuya polémica se sale del alcance de este documento."
159,"Biografía de Jeremy Rifkin https://www.biografiasyvidas.com/biografia/r/rifkin.htm"
160,"La civilización empática, Jeremy Rifkin, página 360"
161,"Hay que diferenciar lo que se considera el fundamentalismo religioso , como un dogma religioso impuesto por la fuerza de la violencia a una dominación de otras culturas que ha estado presente en todas las religiones como parte de la evolución de la sociedad humana, del mensaje de convivencia y fraternidad resaltado desde la gran mayoría de las religiones y principios filosóficos. "
162,"Biografía de Platón https://www.biografiasyvidas.com/biografia/p/platon.htm"
163,"Génesis 1, 1-5 , La Biblia – Latinoamerica, Edición revisada 2005, texto íntegro traducido del hebreo y del griego."
164,"“Einstein, su vida y su universo” -  Walter Isaacson, páginas 46 y 47."
165,"Físicos  UC dan explicación a “La discrepancia más grande entre la teoría y el experimento en la historia de la ciencia”.  https://fisica.uc.cl/actividades-y-noticias/611-constante-cosmologica"
166,"Científico con BS en Física y Ciencias de la Tierra, Phd de Cambridge sobre historia y filosofía de la ciencia. https://stephencmeyer.org/"
167,"“God of the gaps”, how the supernatural explains what we can’t , Danica Dillion and Joshua Conrad Jackson, May 15 2023. https://behavioralscientist.org/god-of-the-gaps-how-the-supernatural-explains-what-we-cant/"
168,"Biografía de Stephen Hawkin https://www.biografiasyvidas.com/biografia/h/hawking.htm"
169,"En su libro “La Historia del Tiempo”, Hawkins aceptaba la posibilidad de una mente superior creadora, de un Dios; en su último libro “El gran diseño” niega la existencia de Dios. https://www.bbc.com/mundo/ciencia_tecnologia/2010/09/100902_hawking_dios_universo_wbm https://www.bbc.com/mundo/ciencia_tecnologia/2010/09/100902_hawking_dios_universo_wbm"
170,"Doctor en matemáticas de Oxford, Cristiano Evangélico https://es.wikipedia.org/wiki/John_Lennox"
171,"¿Ha enterrado la ciencia a Dios ? http://www.boletinsalesiano.info/boletin-salesiano/68-etica/7617-ha-enterrado-la-ciencia-a-dios"
172,"Biografía de Gregor Mendel https://ec.aciprensa.com/wiki/Gregor_Johann_Mendel"
173,"The Pontifical Academy of Sciences https://www.pas.va/en.html"
174,"Biografía de Galileo Galilei: https://www.biografiasyvidas.com/monografia/galileo/"
175,"Biografía de Leonard Susskind https://profiles.stanford.edu/leonard-susskind"
176,"Entrevista, en episodio de “closertothetruth.com”, Enero 27 de 2016 , minuto 4.22 https://youtu.be/0p-Sqo83GX0?si=KmYZFv-g57lpNjp5"
177,"Hay una tendencia histórica en definir el alma como entidad separada del cuerpo. Definición histórica del Alma: https://ec.aciprensa.com/wiki/Alma"
178,"Un alma perdida, es aquella que se aleja de Dios; que le rechaza, generalmente por sobervia."
179,"Definición de espíritu desde el catolicismo https://ec.aciprensa.com/wiki/Esp%C3%ADritu"
180,"El Espíritu y el cuerpo forman parte del mismo “ser”. Definición del Espíritu, en la Teología Católico Cristiana: https://ec.aciprensa.com/wiki/Esp%C3%ADritu "
181,"Biografía de Santo Tomás de Aquino https://mercaba.org/FICHAS/Santos/tomas_de_aquino_doctor.htm"
182,"Suma Teológica, Parte 1a, cuestión 83, sobre el libre albedrío, Santo Tomás de Aquino,  HYPERLINK ""https://hjg.com.ar/sumat/a/c83.html"" \l ""a1""https://hjg.com.ar/sumat/a/c83.html#a1"
183,"Células nerviosas que ejecutan respuestas ante estímulos que reciben. https://wCw.plantbehavior.org/about-us/"
184,"John Henry Newman , profeta de la verdad Católica. https://www.mercaba.org/ARTICULOS/J/john_henry_newman_profeta_de_la.htm"
185,"Biografía de San Agustín de Hipona  https://www.aciprensa.com/recurso/3587/biografia-de-san-agustin-de-hipona"
186,"La conciencia de acuerdo al cardenal  John Henry Newman, Letter to the Duke of Nortfolk (Section 5) https://www.newmanreader.org/works/anglicans/volume2/gladstone/section5.html"
187,"Pablo Malo, psiquiatra, miembro de la Txori-Herri Medical Association y del grupo de psicorock The Beautiful Brains. Interesado en Psicología y Biología Evolucionista. En este aspecto hay diferencias conceptuales entre la ciencia y la religión Cristiano Católica. https://evolucionyneurociencias.blogspot.com/2018/05/entrada-publicada-originalmente-en-la.html"
188,"Wild justice, The moral lives of animals, Marc Beckoff and Jessica Pierce https://press.uchicago.edu/Misc/Chicago/041612.html"
189,"Mimosa Púdica o dormidera https://es.wikipedia.org/wiki/Mimosa_pudica"
190,"¿ Acepta la iglesia la teoría de la evolución ?. HYPERLINK ""https://es.catholic.net/op/articulos/21657/cat/133/acepta-la-iglesia-la-teoria-de-la-evolucion.html"" \l ""modal"" https://es.catholic.net/op/articulos/21657/cat/133/acepta-la-iglesia-la-teoria-de-la-evolucion.html#modal"
191,"El hombre como centro de todas las cosas es un concepto alejado del Cristianismo Católico; en el ámbito teológico, existe una responsabilidad en la armonía con toda la creación en un permanente descubrimiento del “si mismo” frente al camino de fe tendido por Jesucristo, acorde al contexto histórico que le rodea.  HYPERLINK ""https://es.catholic.net/op/articulos/60592/cat/164/exceso-antropocentrico.html"" \l ""modal""https://es.catholic.net/op/articulos/60592/cat/164/exceso-antropocentrico.html#modal"
